"level","position","tech_stack","experience","gender","company","company_size","work_type","city","currency","salary","raise_period"
"Middle","Front-end Developer","JavaScript | Html | Css, React, Vue","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","Ankara","₺ - Türk Lirası","35.000 - 35.999","1"
"Senior","Mobile Application Developer (iOS)","Swift, Objective C","7 - 10 Yıl","Erkek","Startup","250+","Remote","İstanbul","₺ - Türk Lirası","58.000 - 58.999","2"
"Junior","Full Stack Developer",".Net, JavaScript | Html | Css","1 - 3 Yıl","Erkek","Kurumsal","1 - 5 Kişi","Remote","yalova","₺ - Türk Lirası","55.000 - 55.999","2"
"Senior","Team / Tech Lead","Java, Kotlin, Swift, Objective C","7 - 10 Yıl","Erkek","Yazılım Evi & Danışmanlık","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","45.000 - 45.999","2"
"Middle","QA / Automation","Java, JavaScript | Html | Css","1 - 3 Yıl","Erkek","E-Ticaret","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","36.000 - 36.999","3"
"Middle","Back-end Developer","Java","3 - 5 Yıl","Erkek","Outsource","250+","Remote","Ankara","₺ - Türk Lirası","37.000 - 37.999","2"
"Senior","Full Stack Developer",".Net, Flutter","15 Yıl ve üzeri","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","23.000 - 23.999","1"
"Senior","Back-end Developer",".Net, JavaScript | Html | Css, Vue","7 - 10 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","33.000 - 33.999","2"
"Junior","DevOps Engineer","Kubernetes ","0 - 1 Yıl","Erkek","Startup","1 - 5 Kişi","Remote","İstanbul","₺ - Türk Lirası","15.000 - 15.999","1"
"Senior","Back-end Developer",".Net, Php, NodeJS","10 - 12 Yıl","Erkek","Yazılım Evi & Danışmanlık","5 - 10 Kişi","Remote","Antalya","$ - Dolar","5.000 - 5.999","2"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Yazılım Evi & Danışmanlık","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","46.000 - 46.999","2"
"Middle","Full Stack Developer","NodeJS, JavaScript | Html | Css, React, c#","3 - 5 Yıl","Erkek","Startup","1 - 5 Kişi","Remote","Trabzon","₺ - Türk Lirası","41.000 - 41.999","2"
"Middle","Full Stack Developer",".Net, NodeJS, JavaScript | Html | Css, Angular","3 - 5 Yıl","Erkek","Startup","5 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası","21.000 - 21.999","1"
"Middle","Full Stack Developer","Java, JavaScript | Html | Css, React","3 - 5 Yıl","Erkek","Yazılım Evi & Danışmanlık","20 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası","26.000 - 26.999","2"
"Middle","Back-end Developer",".Net, NodeJS, JavaScript | Html | Css, Vue, Angular, Flutter, React Native","1 - 3 Yıl","Erkek","Outsource","1 - 5 Kişi","Remote","İstanbul","₺ - Türk Lirası","22.000 - 22.999","2"
"Middle","Game Developer",".Net, Unity","1 - 3 Yıl","Erkek","Oyun","5 - 10 Kişi","Remote","İstanbul","₺ - Türk Lirası","19.000 - 19.999","3"
"Senior","Back-end Developer","NodeJS, JavaScript | Html | Css","10 - 12 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","36.000 - 36.999","2"
"Middle","Back-end Developer","Java","3 - 5 Yıl","Erkek","Kurumsal","250+","Remote","Ankara","₺ - Türk Lirası","37.000 - 37.999","2"
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","E-Ticaret","50 - 100 Kişi","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","15.000 - 15.999","2"
"Junior","Back-end Developer","Java","1 - 3 Yıl","Erkek","Kurumsal","250+","Hibrit (Ofis + Remote)","Ankara","₺ - Türk Lirası","17.000 - 17.999","2"
"Senior","Front-end Developer","JavaScript | Html | Css, React","5 - 7 Yıl","Erkek","Startup","50 - 100 Kişi","Hibrit (Ofis + Remote)","Manisa","₺ - Türk Lirası","35.000 - 35.999","2"
"Senior","Data Scientist","Python","3 - 5 Yıl","Erkek","Dijital / Reklam Ajansı","250+","Şu an remote ama hibrite döneceğiz.","İstanbul","₺ - Türk Lirası","46.000 - 46.999","2"
"Middle","Full Stack Developer",".Net, NodeJS, JavaScript | Html | Css, React, React Native","3 - 5 Yıl","Erkek","Startup","250+","Hibrit (Ofis + Remote)","* Almanya","€ - Euro","4.000 - 4.999","2"
"Senior","Back-end Developer",".Net","10 - 12 Yıl","Erkek","Yazılım Evi & Danışmanlık","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","45.000 - 45.999","2"
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Finans","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","30.000 - 30.999","1"
"Middle","Back-end Developer",".Net, C / C++, JavaScript | Html | Css","3 - 5 Yıl","Erkek","Yazılım Evi & Danışmanlık","1 - 5 Kişi","Ofis","İstanbul","₺ - Türk Lirası","24.000 - 24.999","1"
"Middle","QA / Manuel Test","Java","3 - 5 Yıl","Erkek","E-Ticaret","250+","Hibrit (Ofis + Remote)","İstanbul","₺ - Türk Lirası","26.000 - 26.999","2"
"Senior","Back-end Developer","Abap","7 - 10 Yıl","Erkek","Kurumsal","250+","Remote","Tekirdağ","₺ - Türk Lirası","20.000 - 20.999","1"
"Middle","Mobile Application Developer (Full Stack)","JavaScript | Html | Css, React, React Native","1 - 3 Yıl","Erkek","Yazılım Evi & Danışmanlık","100 - 250 Kişi","Remote","Tokat","₺ - Türk Lirası","27.000 - 27.999","2"
"Middle","Front-end Developer","JavaScript | Html | Css","3 - 5 Yıl","Erkek","E-Ticaret","250+","Remote","Sinop","₺ - Türk Lirası","18.000 - 18.999","3"
"Junior","Mobile Application Developer (iOS)","Swift","1 - 3 Yıl","Erkek","Outsource","100 - 250 Kişi","Remote","Antalya ","₺ - Türk Lirası","18.000 - 18.999","2"
"Middle","Full Stack Developer",".Net","3 - 5 Yıl","Erkek","Yazılım Evi & Danışmanlık","250+","Remote","* Çekya","€ - Euro","2.000 - 2.999","1"
"Junior","QA / Automation","Java","1 - 3 Yıl","Erkek","E-Ticaret","250+","Remote","İstanbul","₺ - Türk Lirası","19.000 - 19.999","2"
"Senior","Back-end Developer",".Net","5 - 7 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","40.000 - 40.999","1"
"Middle","Back-end Developer","Java","1 - 3 Yıl","Erkek","Yazılım Evi & Danışmanlık","50 - 100 Kişi","Remote","Eskişehir","₺ - Türk Lirası","35.000 - 35.999","2"
"Senior","Back-end Developer","Php, NodeJS, Go","12 - 14 Yıl","Erkek","Startup","50 - 100 Kişi","Remote","İstanbul","₺ - Türk Lirası","40.000 - 40.999","2"
"Middle","Back-end Developer",".Net","1 - 3 Yıl","Erkek","Dijital / Reklam Ajansı","20 - 50 Kişi","Remote","İstanbul","₺ - Türk Lirası","17.000 - 17.999","3"
"Junior","Full Stack Developer","Java, React","1 - 3 Yıl","Kadın","Yazılım Evi & Danışmanlık","20 - 50 Kişi","Hibrit (Ofis + Remote)","Düzce ","₺ - Türk Lirası","11.000 - 11.999","1"
"Senior","Team / Tech Lead","Java","10 - 12 Yıl","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","72.000 - 72.999","1"
"Senior","Mobile Application Developer (iOS)","Swift, Objective C, C / C++","15 Yıl ve üzeri","Erkek","Kurumsal","100 - 250 Kişi","Remote","İstanbul","₺ - Türk Lirası","60.000 - 60.999","2"
"Junior","Back-end Developer",".Net, JavaScript | Html | Css, c#","0 - 1 Yıl","Erkek","E-Ticaret","20 - 50 Kişi","Ofis","İstanbul","₺ - Türk Lirası","15.000 - 15.999","2"
